frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
566,85.733,0.4124,0.8838,111.35,424.24,58,12,46,12,32,26
567,85.8,0.4124,0.8838,111.35,424.24,62,12,50,12,36,26
568,85.867,0.4124,0.8838,111.35,424.24,57,6,51,6,31,26
569,85.933,0.4124,0.8838,111.35,424.24,46,9,37,9,22,24
570,86,0.4124,0.8838,111.35,424.24,52,10,42,10,27,25
571,86.067,0.4124,0.8838,111.35,424.24,49,13,36,13,24,25
572,86.133,0.4126,0.884,111.4,424.31,51,12,38,12,25,26
573,86.2,0.4126,0.884,111.4,424.31,51,8,42,8,26,25
574,86.267,0.4126,0.884,111.4,424.31,53,9,44,9,26,27
575,86.333,0.4126,0.884,111.4,424.31,56,9,46,9,30,26
576,86.4,0.4126,0.884,111.4,424.31,50,4,46,4,24,26
577,86.467,0.4126,0.884,111.4,424.31,54,9,45,9,27,27
578,86.533,0.4126,0.884,111.4,424.31,51,11,39,11,25,26
579,86.6,0.4126,0.884,111.4,424.31,51,12,38,12,26,25
580,86.667,0.4126,0.884,111.4,424.31,56,11,43,11,31,25
581,86.733,0.4126,0.884,111.4,424.31,63,12,50,12,36,27
582,86.8,0.4126,0.884,111.4,424.31,58,12,46,12,33,25
583,86.867,0.4126,0.884,111.4,424.31,61,10,50,10,34,27
584,86.933,0.4126,0.884,111.4,424.31,44,9,35,9,19,25
585,87,0.4126,0.884,111.4,424.31,48,12,36,12,22,26
586,87.067,0.4126,0.884,111.4,424.31,50,8,40,8,25,25
587,87.133,0.4126,0.884,111.4,424.31,40,10,27,10,19,21
588,87.2,0.4126,0.884,111.4,424.31,41,12,28,12,19,22
589,87.267,0.4126,0.884,111.4,424.31,41,11,30,11,18,23
590,87.333,0.4126,0.884,111.4,424.31,44,11,33,11,21,23
591,87.4,0.3927,0.8843,106.02,424.47,54,13,40,13,30,24
592,87.467,0.3759,0.8836,101.5,424.14,43,13,29,13,22,21
593,87.533,0.3585,0.8844,96.81,424.49,44,13,30,13,23,21
594,87.6,0.3585,0.8844,96.81,424.49,48,9,38,9,27,21
595,87.667,0.3585,0.8844,96.81,424.49,47,11,36,11,25,22
596,87.733,0.3585,0.8844,96.81,424.49,53,14,39,14,31,22
597,87.8,0.3613,0.8836,97.55,424.13,50,13,37,13,29,21
598,87.867,0.3807,0.8848,102.8,424.7,46,12,34,12,25,21
599,87.933,0.3396,0.6099,91.7,292.77,46,12,34,12,26,20
600,88,0.415,0.8842,112.05,424.42,42,10,31,10,21,21
601,88.067,0.4346,0.884,117.35,424.33,42,16,25,16,21,21
602,88.133,0.4477,0.883,120.88,423.85,50,16,34,16,30,20
603,88.2,0.4477,0.883,120.88,423.85,37,7,30,7,18,19
604,88.267,0.4249,0.8829,114.73,423.79,39,7,32,7,19,20
605,88.333,0.406,0.8835,109.61,424.09,40,5,34,5,21,19
